N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
9	0	8	30.129998922348	22.1799999475479	22.1799999475479	Efra.gene18564_i2_length720.p1	Efra.gene18564_i2_length720.p1		4					
10	6	6	21.1799994111061	9.60799977183342	9.60799977183342	Efra.gene7598_i0_length1533.p1	Efra.gene7598_i0_length1533.p1		3					
11	6	6	4.64700013399124	2.95700002461672	2.95700002461672	Efra.gene399_i0_length4974.p1	Efra.gene399_i0_length4974.p1		4					
11	0	4	37.2099995613098	37.2099995613098	37.2099995613098	Efra.gene399_i1_length261.p1	Efra.gene399_i1_length261.p1		3					
12	6	6	34.1899991035461	34.1899991035461	34.1899991035461	Efra.gene41171_i0_length356.p1	Efra.gene41171_i0_length356.p1		3					
12	0	4	46.5099990367889	37.2099995613098	37.2099995613098	Efra.gene41171_i1_length366.p1	Efra.gene41171_i1_length366.p1		2					
12	0	4	19.4399997591972	19.4399997591972	19.4399997591972	Efra.gene33593_i0_length435.p1	Efra.gene33593_i0_length435.p1		2					
13	6	6	39.0899986028671	39.0899986028671	39.0899986028671	Efra.gene47379_i0_length333.p1	Efra.gene47379_i0_length333.p1		5					
14	5.58	5.58	50.5400002002716	43.0099993944168	43.0099993944168	Efra.gene62669_i0_length282.p1	Efra.gene62669_i0_length282.p1		4					
15	5.53	5.53	29.7100007534027	17.7499994635582	10.5099998414516	Efra.gene18178_i0_length831.p1	Efra.gene18178_i0_length831.p1		2					
15	0	5.53	28.7400007247925	19.2900002002716	11.4200003445148	Efra.gene19703_i0_length765.p1	Efra.gene19703_i0_length765.p1		2					
16	5.1	5.1	76.8400013446808	49.4700014591217	49.4700014591217	Efra.gene59574_i0_length288.p1	Efra.gene59574_i0_length288.p1		5					
17	4.52	4.52	28.0800014734268	17.9800003767014	14.8300006985664	Efra.gene14678_i0_length1005.p1	Efra.gene14678_i0_length1005.p1		4					
18	4.45	4.45	31.7799985408783	19.4900006055832	16.0999998450279	Efra.gene21137_i1_length711.p1	Efra.gene21137_i1_length711.p1		2					
18	0	2.29	23.5799998044968	17.8900003433228	11.3799996674061	Efra.gene21137_i0_length372.p1	Efra.gene21137_i0_length372.p1		1					
19	4.43	4.43	20.6900000572205	7.81600028276443	5.28700016438961	Efra.gene10049_i0_length1308.p1	Efra.gene10049_i0_length1308.p1		2					
20	4.12	4.12	54.610002040863	22.6999998092651	22.6999998092651	Efra.gene34277_i0_length426.p1	Efra.gene34277_i0_length426.p1		2					
21	4.11	4.11	25.6999999284744	16.7600005865097	16.7600005865097	Efra.gene27331_i1_length540.p1	Efra.gene27331_i1_length540.p1		2					
21	0	4	29.3199986219406	22.5600004196167	22.5600004196167	Efra.gene37076_i0_length399.p1	Efra.gene37076_i0_length399.p1		2					
21	0	4	30.6100010871887	30.6100010871887	30.6100010871887	Efra.gene22225_i4_length296.p1	Efra.gene22225_i4_length296.p1		2					
21	0	4	22.0599994063377	22.0599994063377	22.0599994063377	Efra.gene22225_i2_length411.p1	Efra.gene22225_i2_length411.p1		2					
22	4.03	8.04	42.4499988555908	29.2499989271164	29.2499989271164	Efra.gene50115_i0_length321.p1	Efra.gene50115_i0_length321.p1		4					
23	4.01	4.01	21.5200006961823	17.9399996995926	17.9399996995926	cont|0014|TRYP_PIG	Trypsin 9-231 [Sus scrofa (contaminant)]	Sus scrofa (contaminant)	2					
24	4	4	24.379999935627	6.36600032448769	6.36600032448769	cont|0010|KER	keratin 1 (epidermolytic hyperkeratosis) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
24	0	4	23.139999806881	6.36600032448769	6.36600032448769	cont|0009|KER	keratin 1 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
24	0	4	23.139999806881	6.36600032448769	6.36600032448769	cont|0007|K2C1_HUMAN	Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	2					
25	4	4	35.7400000095367	11.4100001752377	11.4100001752377	Efra.gene19055_i1_length792.p1	Efra.gene19055_i1_length792.p1		2					
25	0	2	33.1800013780594	5.00000007450581	5.00000007450581	Efra.gene19055_i3_length734.p1	Efra.gene19055_i3_length734.p1		1					
26	4	4	15.1099994778633	8.88900011777878	8.88900011777878	Efra.gene9478_i0_length1353.p1	Efra.gene9478_i0_length1353.p1		3					
27	4	4	21.8500003218651	10.9300002455711	10.9300002455711	Efra.gene16539_i1_length909.p1	Efra.gene16539_i1_length909.p1		2					
27	0	2.02	18.8500002026558	6.1540000140667	6.1540000140667	Efra.gene16539_i3_length783.p1	Efra.gene16539_i3_length783.p1		1					
27	0	2	48.649999499321	14.4099995493889	14.4099995493889	Efra.gene16539_i2_length336.p1	Efra.gene16539_i2_length336.p1		1					
27	0	2	30.8299988508224	12.780000269413	12.780000269413	Efra.gene36847_i0_length399.p1	Efra.gene36847_i0_length399.p1		1					
28	4	4	41.8900012969971	14.8599997162819	14.8599997162819	Efra.gene99937_i0_length225.p1	Efra.gene99937_i0_length225.p1		4					
29	4	4	9.97299998998642	7.27799981832504	7.27799981832504	Efra.gene12747_i0_length1116.p1	Efra.gene12747_i0_length1116.p1		2					
30	4	4	9.70299988985062	8.51500034332275	8.51500034332275	Efra.gene7751_i0_length1518.p1	Efra.gene7751_i0_length1518.p1		2					
31	4	4	27.7399986982346	18.2500004768372	18.2500004768372	Efra.gene35579_i0_length414.p1	Efra.gene35579_i0_length414.p1		2					
32	4	4	18.3400005102158	13.0199998617172	13.0199998617172	Efra.gene27122_i0_length543.p1	Efra.gene27122_i0_length543.p1		2					
33	4	4	21.5100005269051	13.9799997210503	13.9799997210503	Efra.gene26421_i0_length561.p1	Efra.gene26421_i0_length561.p1		3					
33	0	4	12.2599996626377	12.2599996626377	12.2599996626377	Efra.gene23511_i1_length639.p1	Efra.gene23511_i1_length639.p1		3					
33	0	2	23.1499999761581	4.63000014424324	4.63000014424324	Efra.gene23068_i0_length651.p1	Efra.gene23068_i0_length651.p1		1					
34	4	4	25.4000008106232	16.9300004839897	16.9300004839897	Efra.gene25967_i0_length570.p1	Efra.gene25967_i0_length570.p1		2					
34	0	2	23.6100003123283	23.6100003123283	23.6100003123283	Efra.gene25967_i2_length219.p1	Efra.gene25967_i2_length219.p1		1					
34	0	2	16.0400003194809	16.0400003194809	16.0400003194809	Efra.gene25967_i1_length321.p1	Efra.gene25967_i1_length321.p1		1					
35	4	4	23.9399999380112	23.9399999380112	23.9399999380112	Efra.gene34053_i0_length429.p1	Efra.gene34053_i0_length429.p1		2					
36	4	4	39.0799999237061	39.0799999237061	39.0799999237061	Efra.gene33821_i0_length432.p1	Efra.gene33821_i0_length432.p1		4					
36	0	2	9.09100025892258	9.09100025892258	9.09100025892258	Efra.gene69555_i0_length267.p1	Efra.gene69555_i0_length267.p1		1					
37	3.17	3.17	26.7100006341934	17.3899993300438	9.93800014257431	Efra.gene30096_i0_length486.p1	Efra.gene30096_i0_length486.p1		2					
38	2.96	2.96	20.5599993467331	20.5599993467331	20.5599993467331	Efra.gene49354_i0_length324.p1	Efra.gene49354_i0_length324.p1		3					
39	2.76	2.76	12.9800006747246	1.19000002741814	1.19000002741814	Efra.gene330_i0_length5295.p1	Efra.gene330_i0_length5295.p1		4					
40	2.7	2.7	46.3200002908707	31.580001115799	31.580001115799	Efra.gene59690_i0_length288.p1	Efra.gene59690_i0_length288.p1		2					
41	2.66	2.66	19.4700002670288	19.4700002670288	19.4700002670288	Efra.gene25963_i0_length570.p1	Efra.gene25963_i0_length570.p1		3					
42	2.48	2.48	33.1699997186661	13.3699998259544	13.3699998259544	Efra.gene22328_i1_length673.p1	Efra.gene22328_i1_length673.p1		2					
42	0	2.48	29.4099986553192	19.8500007390976	19.8500007390976	Efra.gene35823_i0_length411.p1	Efra.gene35823_i0_length411.p1		2					
43	2.39	2.39	16.2900000810623	7.42899999022484	4.85699996352196	Efra.gene12082_i0_length1156.p1	Efra.gene12082_i0_length1156.p1		1					
44	2.32	2.32	26.5799999237061	7.65800029039383	5.40499985218048	Efra.gene9742_i0_length1332.p1	Efra.gene9742_i0_length1332.p1		1					
44	0	2.32	29.9100011587143	10.5899997055531	7.47700035572052	Efra.gene15484_i0_length963.p1	Efra.gene15484_i0_length963.p1		1					
44	0	2.32	15.2400001883507	10.4800000786781	5.71400001645088	Efra.gene9742_i3_length630.p1	Efra.gene9742_i3_length630.p1		1					
44	0	1.77	36.4300012588501	8.57099965214729	8.57099965214729	Efra.gene35010_i0_length420.p1	Efra.gene35010_i0_length420.p1		1					
44	0	1.77	41.3500010967255	11.540000140667	11.540000140667	Efra.gene52472_i0_length312.p1	Efra.gene52472_i0_length312.p1		1					
45	2.16	2.26	8.72500017285347	2.90799997746944	2.16300003230572	Efra.gene813_i1_length4026.p1	Efra.gene813_i1_length4026.p1		2					
46	2.08	2.08	11.8400000035763	1.22800003737211	1.22800003737211	Efra.gene1287_i0_length3423.p1	Efra.gene1287_i0_length3423.p1		1					
46	0	2.08	12.5	2.24399995058775	2.24399995058775	Efra.gene5067_i0_length1875.p1	Efra.gene5067_i0_length1875.p1		1					
47	2.07	2.07	41.8599992990494	32.5599998235703	32.5599998235703	Efra.gene56589_i0_length261.p1	Efra.gene56589_i0_length261.p1		1					
48	2.02	2.14	10.8199998736382	0.849399995058775	0.849399995058775	Efra.gene329_i3_length5301.p1	Efra.gene329_i3_length5301.p1		1					
49	2.02	2.02	45.9600001573563	8.08100029826164	8.08100029826164	Efra.gene24924_i0_length597.p1	Efra.gene24924_i0_length597.p1		1					
49	0	2.02	35.4999989271164	6.10699988901615	6.10699988901615	Efra.gene19130_i0_length789.p1	Efra.gene19130_i0_length789.p1		1					
49	0	2.02	24.7500002384186	5.35099990665913	5.35099990665913	Efra.gene16730_i0_length900.p1	Efra.gene16730_i0_length900.p1		1					
49	0	2.02	24.3000000715256	5.63400015234947	5.63400015234947	Efra.gene17348_i0_length870.p1	Efra.gene17348_i0_length870.p1		1					
49	0	2.02	33.500000834465	7.99999982118607	7.99999982118607	Efra.gene24801_i0_length603.p1	Efra.gene24801_i0_length603.p1		1					
49	0	2.02	24.099999666214	5.75499981641769	5.75499981641769	Efra.gene18122_i0_length834.p1	Efra.gene18122_i0_length834.p1		1					
49	0	2.02	23.3700007200241	5.49799986183643	5.49799986183643	Efra.gene17242_i0_length876.p1	Efra.gene17242_i0_length876.p1		1					
49	0	2.02	24.32000041008	5.40499985218048	5.40499985218048	Efra.gene16899_i0_length891.p1	Efra.gene16899_i0_length891.p1		1					
49	0	2.02	29.4400006532669	8.12200009822845	8.12200009822845	Efra.gene25052_i0_length594.p1	Efra.gene25052_i0_length594.p1		1					
49	0	2.02	22.2200006246567	7.72899985313416	7.72899985313416	Efra.gene23983_i0_length624.p1	Efra.gene23983_i0_length624.p1		1					
49	0	2.02	26.5799999237061	7.20700025558472	7.20700025558472	Efra.gene22496_i0_length669.p1	Efra.gene22496_i0_length669.p1		1					
49	0	2.02	20.5400004982948	7.14299976825714	7.14299976825714	Efra.gene22245_i0_length675.p1	Efra.gene22245_i0_length675.p1		1					
49	0	2.02	20.4099997878075	5.44200018048286	5.44200018048286	Efra.gene17064_i0_length885.p1	Efra.gene17064_i0_length885.p1		1					
49	0	2.02	20.6000000238419	5.31600005924702	5.31600005924702	Efra.gene16640_i0_length906.p1	Efra.gene16640_i0_length906.p1		1					
49	0	2.02	24.1200000047684	8.03999975323677	8.03999975323677	Efra.gene24811_i0_length600.p1	Efra.gene24811_i0_length600.p1		1					
49	0	2.02	21.4300006628037	7.14299976825714	7.14299976825714	Efra.gene22314_i0_length675.p1	Efra.gene22314_i0_length675.p1		1					
49	0	2.02	16.5999993681908	6.63900002837181	6.63900002837181	Efra.gene20858_i0_length723.p1	Efra.gene20858_i0_length723.p1		1					
49	0	2.02	20.0800001621246	6.69500008225441	6.69500008225441	Efra.gene17725_i0_length852.p1	Efra.gene17725_i0_length852.p1		1					
49	0	2.02	17.5400003790855	5.61399981379509	5.61399981379509	Efra.gene17599_i0_length858.p1	Efra.gene17599_i0_length858.p1		1					
49	0	2.02	16.0999998450279	5.47900013625622	5.47900013625622	Efra.gene17137_i0_length879.p1	Efra.gene17137_i0_length879.p1		1					
49	0	2.02	16.5000006556511	5.28099983930588	5.28099983930588	Efra.gene16475_i0_length912.p1	Efra.gene16475_i0_length912.p1		1					
49	0	2.02	10.9099999070168	5.81800006330013	5.81800006330013	Efra.gene18240_i0_length828.p1	Efra.gene18240_i0_length828.p1		1					
49	0	2	40.3800010681152	15.3799995779991	15.3799995779991	Efra.gene51901_i0_length312.p1	Efra.gene51901_i0_length312.p1		1					
49	0	2	34.909999370575	15.090000629425	15.090000629425	Efra.gene50962_i0_length318.p1	Efra.gene50962_i0_length318.p1		1					
49	0	2	22.9300007224083	10.1899996399879	10.1899996399879	Efra.gene31147_i0_length471.p1	Efra.gene31147_i0_length471.p1		1					
49	0	2	15.5399993062019	10.809999704361	10.809999704361	Efra.gene32610_i0_length447.p1	Efra.gene32610_i0_length447.p1		1					
50	2.02	2.02	30.1800012588501	13.6099994182587	7.10100010037422	Efra.gene28811_i0_length510.p1	Efra.gene28811_i0_length510.p1		1					
50	0	2	11.6300001740456	6.97700008749962	6.97700008749962	Efra.gene28257_i0_length519.p1	Efra.gene28257_i0_length519.p1		1					
51	2.01	2.01	19.370000064373	6.2830001115799	6.2830001115799	Efra.gene25799_i1_length576.p1	Efra.gene25799_i1_length576.p1		1					
52	2	6	36.7500007152557	36.7500007152557	36.7500007152557	Efra.gene42958_i0_length354.p1	Efra.gene42958_i0_length354.p1		4					
53	2	2.02	22.4900007247925	5.53600005805492	5.53600005805492	Efra.gene17337_i0_length870.p1	Efra.gene17337_i0_length870.p1		1					
53	0	2.02	37.7499997615814	10.5999998748302	10.5999998748302	Efra.gene32110_i0_length456.p1	Efra.gene32110_i0_length456.p1		1					
53	0	2.02	13.4900003671646	5.53600005805492	5.53600005805492	Efra.gene17349_i0_length870.p1	Efra.gene17349_i0_length870.p1		1					
54	2	2	36.3099992275238	8.33299979567528	8.33299979567528	Efra.gene28977_i0_length507.p1	Efra.gene28977_i0_length507.p1		1					
55	2	2	26.230001449585	4.91800010204315	4.91800010204315	Efra.gene26810_i2_length552.p1	Efra.gene26810_i2_length552.p1		1					
56	2	2	40.1399999856949	10.8800001442432	10.8800001442432	Efra.gene32379_i0_length452.p1	Efra.gene32379_i0_length452.p1		1					
57	2	2	3.89799997210503	1.3399999588728	1.3399999588728	Efra.gene2834_i0_length2466.p1	Efra.gene2834_i0_length2466.p1		1					
57	0	2	10.6899999082088	6.91799968481064	6.91799968481064	Efra.gene2834_i2_length480.p1	Efra.gene2834_i2_length480.p1		1					
57	0	2	8.62900018692017	5.58400005102158	5.58400005102158	Efra.gene2834_i1_length594.p1	Efra.gene2834_i1_length594.p1		1					
58	2	2	14.470000565052	4.71699982881546	4.71699982881546	Efra.gene15574_i0_length957.p1	Efra.gene15574_i0_length957.p1		1					
59	2	2	15.1899993419647	4.87099997699261	4.87099997699261	Efra.gene13900_i0_length1047.p1	Efra.gene13900_i0_length1047.p1		1					
60	2	2	35.8700007200241	11.9599997997284	11.9599997997284	Efra.gene26700_i0_length552.p1	Efra.gene26700_i0_length552.p1		1					
60	0	2	28.2099992036819	28.2099992036819	28.2099992036819	Efra.gene26700_i1_length468.p1	Efra.gene26700_i1_length468.p1		1					
61	2	2	6.48100003600121	3.70399989187717	3.70399989187717	Efra.gene6586_i0_length1651.p1	Efra.gene6586_i0_length1651.p1		1					
62	2	2	13.1600007414818	10.530000180006	10.530000180006	Efra.gene44522_i0_length345.p1	Efra.gene44522_i0_length345.p1		1					
63	2	2	17.5999999046326	11.9999997317791	11.9999997317791	Efra.gene38556_i0_length385.p1	Efra.gene38556_i0_length385.p1		2					
64	2	2	15.2500003576279	6.78000003099442	6.78000003099442	Efra.gene27516_i0_length534.p1	Efra.gene27516_i0_length534.p1		1					
65	2	2	21.7099994421005	11.1800000071526	11.1800000071526	Efra.gene25400_i0_length486.p1	Efra.gene25400_i0_length486.p1		1					
66	2	2	18.5499995946884	11.2899996340275	11.2899996340275	Efra.gene20233_i0_length744.p1	Efra.gene20233_i0_length744.p1		3					
66	0	2	7.25400000810623	7.25400000810623	7.25400000810623	Efra.gene20233_i3_length579.p1	Efra.gene20233_i3_length579.p1		3					
66	0	2	12.1699996292591	12.1699996292591	12.1699996292591	Efra.gene20233_i2_length690.p1	Efra.gene20233_i2_length690.p1		3					
67	2	2	8.58099982142448	4.94999997317791	4.94999997317791	Efra.gene16536_i2_length909.p1	Efra.gene16536_i2_length909.p1		1					
67	0	2	14.4199997186661	14.4199997186661	14.4199997186661	Efra.gene16536_i3_length315.p1	Efra.gene16536_i3_length315.p1		1					
68	2	2	6.61600008606911	3.30800004303455	3.30800004303455	Efra.gene11716_i0_length1179.p1	Efra.gene11716_i0_length1179.p1		1					
69	2	2	18.3899998664856	18.3899998664856	18.3899998664856	Efra.gene70882_i0_length264.p1	Efra.gene70882_i0_length264.p1		1					
70	2	2	17.8000003099442	17.8000003099442	17.8000003099442	Efra.gene42777_i0_length357.p1	Efra.gene42777_i0_length357.p1		2					
71	2	2	10.9399996697903	10.9399996697903	10.9399996697903	Efra.gene38386_i0_length387.p1	Efra.gene38386_i0_length387.p1		1					
72	2	2	10.9700001776218	10.9700001776218	10.9700001776218	Efra.gene31160_i0_length470.p1	Efra.gene31160_i0_length470.p1		1					
73	2	2	8.24699997901917	8.24699997901917	8.24699997901917	Efra.gene25400_i1_length585.p1	Efra.gene25400_i1_length585.p1		1					
74	2	2	15.7100006937981	15.7100006937981	15.7100006937981	Efra.gene110165_i0_length213.p1	Efra.gene110165_i0_length213.p1		1					
75	1.7	1.7	18.520000576973	10.1899996399879	10.1899996399879	Efra.gene49456_i1_length324.p1	Efra.gene49456_i1_length324.p1		1					
75	0	1.7	15.7100006937981	15.7100006937981	15.7100006937981	Efra.gene49456_i0_length210.p1	Efra.gene49456_i0_length210.p1		1					
76	1.59	1.59	29.3300002813339	15.9999996423721	15.9999996423721	Efra.gene42768_i0_length273.p1	Efra.gene42768_i0_length273.p1		1					
77	1.48	1.48	14.9399995803833	5.19500002264977	5.19500002264977	Efra.gene31742_i2_length462.p1	Efra.gene31742_i2_length462.p1		1					
77	0	1.48	29.4900000095367	10.2600000798702	10.2600000798702	Efra.gene31742_i1_length237.p1	Efra.gene31742_i1_length237.p1		1					
77	0	1.48	15.7499998807907	5.47900013625622	5.47900013625622	Efra.gene26841_i0_length549.p1	Efra.gene26841_i0_length549.p1		1					
78	1.44	1.44	23.6100003123283	6.94399997591972	6.94399997591972	Efra.gene21462_i0_length701.p1	Efra.gene21462_i0_length701.p1		1					
79	1.28	1.28	15.6900003552437	15.6900003552437	15.6900003552437	Efra.gene22225_i1_length309.p1	Efra.gene22225_i1_length309.p1		1					
80	1.04	1.04	12.1799997985363	3.96599993109703	3.96599993109703	Efra.gene13656_i0_length1062.p1	Efra.gene13656_i0_length1062.p1		1					
81	0.97	0.97	4.5559998601675	4.5559998601675	4.5559998601675	Efra.gene10707_i1_length1254.p1	Efra.gene10707_i1_length1254.p1		1					
82	0.79	0.79	5.66000007092953	3.77399995923042	3.77399995923042	Efra.gene23450_i0_length639.p1	Efra.gene23450_i0_length639.p1		1					
83	0.62	0.62	23.6200004816055	7.87400007247925	7.87400007247925	Efra.gene34755_i1_length384.p1	Efra.gene34755_i1_length384.p1		1					
83	0	0.62	8.12999978661537	8.12999978661537	8.12999978661537	Efra.gene40169_i0_length372.p1	Efra.gene40169_i0_length372.p1		1					
83	0	0.62	8.54699984192848	8.54699984192848	8.54699984192848	Efra.gene34755_i0_length421.p1	Efra.gene34755_i0_length421.p1		1					
84	0.52	0.52	9.31700021028519	9.31700021028519	9.31700021028519	Efra.gene30061_i0_length486.p1	Efra.gene30061_i0_length486.p1		1					
85	0.39	0.39	13.3300006389618	13.3300006389618	0	Efra.gene60545_i1_length273.p1	Efra.gene60545_i1_length273.p1		0					
85	0	0.39	8.63299965858459	8.63299965858459	0	Efra.gene34789_i0_length420.p1	Efra.gene34789_i0_length420.p1		0					
86	0.34	0.34	8.88499990105629	2.07299999892712	0	RRRRREfra.gene1729_i0_length3042.p1REVERSED		i0_length3042.p1REVERSED	0					
87	0.28	0.28	17.3800006508827	3.35399992763996	0	Efra.gene15064_i0_length984.p1	Efra.gene15064_i0_length984.p1		0					
88	0.23	0.23	14.5799994468689	1.92300006747246	0	cont|0011|KER	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
88	0	0.23	12.8199994564056	2.02399995177984	0	cont|0008|KER	keratin 10, type I, cytoskeletal - human [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
88	0	0.23	13.00999969244	2.05499995499849	0	cont|0004|KER	Keratin 10 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
88	0	0.23	12.8199994564056	2.02399995177984	0	cont|0001|KER	Keratin, type I cytoskeletal 10 (Cytokeratin 10) (K10) (CK 10) [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
88	0	0.23	15.0099992752075	2.77100000530481	0	cont|0006|KER	keratin-10 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
88	0	0.23	16.1500006914139	3.125	0	cont|0005|KER	keratin 10 [Homo sapiens (contaminant)]	Homo sapiens (contaminant)	0					
89	0.2	2	14.1000002622604	8.81099998950958	8.81099998950958	Efra.gene22028_i0_length681.p1	Efra.gene22028_i0_length681.p1		1					
90	0.09	0.09	16.9599995017052	8.77199992537498	0	Efra.gene28510_i1_length516.p1	Efra.gene28510_i1_length516.p1		0					
91	0.07	2.22	29.1900008916855	7.40699991583824	3.05000003427267	Efra.gene9182_i0_length1380.p1	Efra.gene9182_i0_length1380.p1		1					
92	0.07	0.07	10.7299998402596	1.27699999138713	0	Efra.gene2026_i0_length2352.p1	Efra.gene2026_i0_length2352.p1		0					
92	0	0.07	14.2100006341934	1.75400003790855	0	Efra.gene6007_i1_length1710.p1	Efra.gene6007_i1_length1710.p1		0					
92	0	0.07	33.3299994468689	6.66700005531311	0	Efra.gene32476_i0_length450.p1	Efra.gene32476_i0_length450.p1		0					
92	0	0.07	36.4800006151199	6.2890000641346	0	Efra.gene30211_i0_length477.p1	Efra.gene30211_i0_length477.p1		0					
92	0	0.07	22.6199999451637	3.96800003945827	0	Efra.gene19992_i1_length756.p1	Efra.gene19992_i1_length756.p1		0					
92	0	0.07	29.6299993991852	6.17300011217594	0	Efra.gene30211_i1_length486.p1	Efra.gene30211_i1_length486.p1		0					
92	0	0.07	29.0100008249283	6.17300011217594	0	Efra.gene24911_i1_length486.p1	Efra.gene24911_i1_length486.p1		0					
92	0	0.07	27.649998664856	5.88200017809868	0	Efra.gene24911_i0_length598.p1	Efra.gene24911_i0_length598.p1		0					
92	0	0.07	9.70899984240532	4.85399998724461	0	Efra.gene19992_i0_length618.p1	Efra.gene19992_i0_length618.p1		0					
92	0	0.07	6.4520001411438	6.4520001411438	0	Efra.gene31452_i0_length465.p1	Efra.gene31452_i0_length465.p1		0					
93	0.07	0.07	4.96900007128716	2.89900004863739	0	RRRRREfra.gene8400_i1_length1452.p1REVERSED		i1_length1452.p1REVERSED	0					
94	0.06	0.06	5.06200008094311	1.65299996733665	0	Efra.gene1853_i0_length2945.p1	Efra.gene1853_i0_length2945.p1		0					
